2 195153448 0
8 2005018 10
11400 2005018 0
11676 2005018 8
41385 2005018 4
67544 2005018 8
85526 2005018 8
96054 2005018 10
116866 2005018 9
123629 2005018 9
177458 2005018 6
200273 2005018 8
210926 2005018 9
219008 2005018 7
263325 2005018 6
8 60973129 1
2954 60973129 8
152827 60973129 7
8 374157065 9
35704 374157065 6
83160 374157065 1
110912 374157065 10
137688 374157065 4
157969 374157065 8
169187 374157065 6
192665 374157065 8
197659 374157065 9
208059 374157065 6
209163 374157065 7
8 393045218 4
8 399135782 8
11676 399135782 9
29526 399135782 9
36836 399135782 4
46398 399135782 9
49300 399135782 10
49635 399135782 9
67958 399135782 10
113270 399135782 3
113519 399135782 6
115097 399135782 7
136509 399135782 8
148712 399135782 10
153461 399135782 3
178269 399135782 5
180297 399135782 6
188589 399135782 6
194722 399135782 9
198013 399135782 7
200674 399135782 1
207148 399135782 3
211919 399135782 2
212449 399135782 8
213191 399135782 8
230522 399135782 7
236322 399135782 9
238557 399135782 10
242247 399135782 1
245827 399135782 9
248583 399135782 5
252282 399135782 1
252921 399135782 8
255661 399135782 5
8 425176428 6
52614 425176428 8
56193 425176428 1
225910 425176428 2
274634 425176428 9
8 671870432 8
11676 671870432 8
24539 671870432 10
8 679425608 8
8 74322678 5
8 771074670 1
11676 771074670 4
98499 771074670 10
166596 771074670 5
189238 771074670 6
223066 771074670 3
8 80652121 6
8 887841740 5
92861 887841740 2
8 1552041778 5
8 1558746218 3
3363 1558746218 10
61501 1558746218 7
148514 1558746218 10
174304 1558746218 6
177090 1558746218 6
256233 1558746218 3
263256 1558746218 10
8 1567407781 6
8 1575663937 6
176875 1575663937 6
213915 1575663937 3
8 1881320189 7
35826 1881320189 2
226745 1881320189 7
9 440234743 10
243 440234743 8
388 440234743 1
2977 440234743 4
3329 440234743 8
3363 440234743 1
5760 440234743 3
6795 440234743 10
7346 440234743 9
7352 440234743 8
9419 440234743 5
9747 440234743 3
9856 440234743 9
11224 440234743 6
11676 440234743 9
12685 440234743 10
12923 440234743 10
13552 440234743 8
13582 440234743 3
14521 440234743 8
16666 440234743 10
16795 440234743 10
17761 440234743 10
19445 440234743 1
20435 440234743 10
20462 440234743 5
20783 440234743 5
20801 440234743 8
20916 440234743 7
21264 440234743 5
23511 440234743 8
23768 440234743 9
26240 440234743 5
26544 440234743 10
26593 440234743 10
27684 440234743 9
28123 440234743 9
28619 440234743 7
29654 440234743 8
30487 440234743 6
30533 440234743 6
31299 440234743 10
31315 440234743 10
31556 440234743 3
31560 440234743 6
31694 440234743 1
32516 440234743 1
35857 440234743 3
35859 440234743 8
36606 440234743 4
37874 440234743 10
38718 440234743 9
38991 440234743 8
39345 440234743 9
39646 440234743 1
40889 440234743 10
41781 440234743 5
44663 440234743 8
45585 440234743 7
46389 440234743 8
46398 440234743 4
46767 440234743 9
47971 440234743 8
48268 440234743 4
48911 440234743 10
49168 440234743 9
49994 440234743 2
52584 440234743 1
52994 440234743 3
54005 440234743 9
54884 440234743 8
55027 440234743 7
55419 440234743 8
55492 440234743 6
57108 440234743 1
57423 440234743 8
57632 440234743 5
59038 440234743 6
59390 440234743 5
60130 440234743 5
60569 440234743 1
60683 440234743 6
62667 440234743 8
62881 440234743 5
63470 440234743 10
64535 440234743 7
64605 440234743 4
64679 440234743 4
66387 440234743 6
67487 440234743 6
68256 440234743 10
68537 440234743 10
69232 440234743 3
70205 440234743 8
70666 440234743 7
72523 440234743 10
72912 440234743 1
72975 440234743 7
74709 440234743 6
75691 440234743 9
75819 440234743 7
76352 440234743 5
76368 440234743 3
76942 440234743 9
78165 440234743 10
78754 440234743 8
78834 440234743 10
78973 440234743 7
79186 440234743 9
79740 440234743 7
80810 440234743 6
81088 440234743 1
81298 440234743 9
82114 440234743 9
82893 440234743 1
83034 440234743 3
84024 440234743 2
84611 440234743 8
85534 440234743 7
86303 440234743 7
86969 440234743 8
87257 440234743 3
87929 440234743 2
88006 440234743 4
90322 440234743 1
91633 440234743 5
91832 440234743 5
93055 440234743 7
93363 440234743 2
93643 440234743 10
93772 440234743 9
93800 440234743 6
94074 440234743 10
94139 440234743 8
94396 440234743 8
97721 440234743 10
98012 440234743 2
98468 440234743 5
98723 440234743 8
98923 440234743 7
100009 440234743 9
100393 440234743 5
101209 440234743 7
102647 440234743 4
102967 440234743 8
103315 440234743 8
103416 440234743 7
105124 440234743 6
105624 440234743 1
105937 440234743 8
105979 440234743 5
106230 440234743 9
106273 440234743 4
107201 440234743 4
107244 440234743 2
107784 440234743 9
108143 440234743 9
108207 440234743 1
108247 440234743 10
110127 440234743 5
110440 440234743 1
110558 440234743 5
110973 440234743 10
